mjd, filter, maglim 
58726.2366036, i, 24.191585915205 
58726.19797998, i, 24.0845409282156 
58726.25763685, i, 24.3305227112728 
58726.2366036, i, 24.3057872001393 
58726.25763685, i, 24.0113368591511 
58726.19797998, i, 24.0547212193289 
58726.25763685, i, 24.3176760264816 
58726.2366036, i, 24.1940623199741 
58726.19797998, i, 24.0493982566987 
58726.19797998, i, 24.0434210317865 
58726.24553982, i, 24.2039042656183 
58726.25475886, i, 24.223061657862 
58726.19797998, i, 24.05108783716 
58726.22747708, i, 24.0788029516777 
58726.19797998, i, 24.0634687827872 
58726.23977632, i, 24.1743556291055 
58726.24853861, i, 24.1865350190146 
58726.2366036, i, 24.2947956960309 
58726.2366036, i, 24.3052482844268 
58726.22747708, i, 24.1107145710427 
58726.25763685, i, 24.3489471838434 
58726.19797998, i, 24.0159673275978 
58726.20089652, i, 24.0118426210631 
58726.20089652, i, 23.9825886705989 
58726.19797998, i, 24.0459177148806 
58726.20089652, i, 23.9788220345729 
58726.22747708, i, 24.1474330087106 
58726.20089652, i, 23.9975984076831 
58726.20089652, i, 23.9688023242294 
58726.2366036, i, 24.2199910673124 
58726.20089652, i, 23.9874615402194 
58726.25763685, i, 24.3719498774397 
58726.23977632, i, 24.1747677505045 
58726.2366036, i, 24.2693007578644 
58726.19797998, i, 24.0576040073569 
58726.19797998, i, 24.0301608089559 
58726.19797998, i, 24.0419703648965 
58726.19797998, i, 24.0525266344204 
58726.24853861, i, 24.2605267530834 
58726.19797998, i, 24.0442575669816 
58726.20089652, i, 24.0354774834712 
58726.19797998, i, 24.0432541045127 
58726.2366036, i, 24.2764688672387 
58726.24853861, i, 24.144063304121 
58726.20089652, i, 23.9865717725162 
58726.23977632, i, 24.1429490791962 
58726.23977632, i, 24.1520718672226 
58726.20089652, i, 24.0037806391707 
58726.23977632, i, 24.1585440573879 
58726.22747708, i, 24.1796085200889 
58726.20089652, i, 23.934368305731 
58726.25475886, i, 24.2952077539787 
58726.24853861, i, 24.2137187696657 
58726.2366036, i, 24.2977890390332 
58726.25475886, i, 24.3201776750796 
58726.2366036, i, 24.2960294754222 
58726.24853861, i, 24.2350887011827 
58726.23977632, i, 24.0906040709929 
58726.2366036, i, 24.272460934993 
58726.2366036, i, 24.2270538374004 
58726.20089652, i, 24.0223129490629 
58726.2366036, i, 24.2632719076209 
58726.20089652, i, 24.0353686180746 
58726.20089652, i, 24.0095186586198 
58726.20089652, i, 24.0402369823734 
58726.25475886, i, 24.3200440937038 
58726.20089652, i, 24.0264115326889 
58726.2366036, i, 24.2938577067314 
58726.23977632, i, 24.1395971365009 
58726.2366036, i, 24.153933230074 
58726.23977632, i, 24.1983791959838 
58726.22747708, i, 24.1485597710951 
58726.2366036, i, 24.2365522761473 
58726.2366036, i, 24.3086143972037 
58726.2366036, i, 24.3197827169443 
58726.20089652, i, 24.0372825977436 
58726.25475886, i, 24.3486772003758 
58726.20089652, i, 23.9575468242937 
58726.25475886, i, 24.3706234320813 
58726.2366036, i, 24.2770711078072 
58726.24853861, i, 24.2115602147573 
58726.20089652, i, 23.9860937501647 
58726.20089652, i, 24.0499311125713 
58726.23977632, i, 24.2046510602975 
58726.24853861, i, 24.2565214799499 
58726.23977632, i, 24.1637719776319 
58726.2366036, i, 24.248244549929 
58726.22747708, i, 24.1664766066495 
58726.2366036, i, 24.2468429355064 
58726.2366036, i, 24.305834933085 
58726.24853861, i, 24.2195759275196 
58726.2366036, i, 24.2144541923787 
58726.2366036, i, 24.2483097739359 
58726.2366036, i, 24.1936406456172 
58726.21563521, i, 24.0423169450882 
58726.25475886, i, 24.3438408667862 
58726.25763685, i, 24.4008664391854 
58726.20089652, i, 24.013330239244 
58726.22747708, i, 24.1990591918796 
58726.25475886, i, 24.3114348684088 
58726.2366036, i, 24.2202624211443 
58726.22747708, i, 24.1692577018893 
58726.24853861, i, 24.2528409760313 
58726.24853861, i, 24.1789136977462 
58726.20089652, i, 24.0161908077582 
58726.20089652, i, 24.0339829164458 
58726.20089652, i, 24.0240303114667 
58726.25475886, i, 24.2292240351765 
58726.2366036, i, 24.285977608859 
58726.2366036, i, 24.2384972206304 
58726.20089652, i, 24.0135979589521 
58726.22747708, i, 24.1649558152089 
58726.2366036, i, 23.9281253725261 
58726.22747708, i, 24.1253542617721 
